Storkreds,Opstillingskreds,Kommune,Valgdistrikt_kode,Location,Persons18,Persons65,Age_Mean,Income_Mean,Grundskole,Gymnasial,Erhvervsfaglig,Kort_vider,Mellemlang_vider,Bachelor,Lang_vider,Uoplyst,with_children,without_children,A. Socialdemokratiet,B. Radikale Venstre,C. Det Konservative Folkeparti,D. Nye Borgerlige,E. Klaus Riskær Pedersen,F. SF - Socialistisk Folkeparti,I. Liberal Alliance,K. Kristendemokraterne,O. Dansk Folkeparti,P. Stram Kurs,"V. Venstre, Danmarks Liberale Parti",Ø. Enhedslisten - De Rød-Grønne,Å. Alternativet,Kandidater uden for partierne i alt
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,1,1. Østerbro,11087,1670,43.7,242235.4,13.06034094,18.17443853,13.77288717,3.950572743,16.89365924,7.36899071,25.02931361,1.74979706,7818,3269,1556,1862,581,118,76,1101,316,75,235,84,1752,1454,569,8
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,2,1. Nord,5820,1306,47.3,305614.4,15.13745704,15.68728522,16.64948454,3.865979381,15.6185567,6.340206186,24.75945017,1.941580756,4219,1601,761,911,422,78,32,512,153,41,194,72,1033,601,240,3
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,3,1. Syd,11093,1642,44.3,261054.6,11.95348418,17.1459479,12.45830704,3.840259623,16.81240422,7.581357613,28.84702064,1.361218787,7293,3800,1473,1930,557,115,64,1269,229,84,187,76,1580,1609,706,9
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,56,1. Øst,7105,942,43.4,307912.6,11.2033779,16.0591133,14.69387755,4.250527797,15.81984518,7.375087966,29.04996481,1.548205489,4961,2144,778,1190,590,68,61,556,306,36,127,59,1631,630,328,4
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,5,1. Vest,10772,2053,45.5,219570.1,16.92350538,16.94207204,18.51095433,4.223913851,15.72595618,6.21054586,19.64352024,1.81953212,7917,2855,1670,1420,455,149,67,1019,234,104,374,125,1252,1419,580,9
1. Københavns Storkreds,1. Østerbro Opstillingskreds,101,6,1. Nordvest,9673,1600,43.7,229678.6,15.67249044,17.81246769,17.8331438,4.217926186,15.08322134,6.419931769,21.3687584,1.592060374,7088,2585,1422,1443,424,108,91,920,229,52,315,101,1235,1095,533,13
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,7,2. Sundbyvester,9694,1986,47.1,223340.6,25.55188777,14.61728904,25.28368063,3.889003507,11.68764184,3.73426862,13.30720033,1.929028265,6729,2965,1676,1121,293,114,84,911,154,51,501,143,925,1160,406,15
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,8,2. Nord,12928,1736,41.8,192617.7,19.48483911,19.66274752,19.76330446,3.736076733,12.36076733,7.170482673,15.25371287,2.568069307,9740,3188,1839,1719,352,117,125,1330,268,71,412,139,1284,1927,730,23
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,9,2. Syd,8777,707,39.1,247216.7,15.3697163,19.51691922,18.58265922,5.730887547,13.09103338,5.776461205,19.28905093,2.643272189,5511,3266,1215,1380,408,120,80,802,418,49,272,114,1462,993,530,10
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,57,2. Øst,7530,1055,42.8,230220.5,18.49933599,21.87250996,19.42895086,3.413014608,11.77954847,6.135458167,16.82602922,2.045152722,4762,2768,1172,1066,226,80,62,820,126,52,321,78,787,1093,468,2
1. Københavns Storkreds,2. Sundbyvester Opstillingskreds,101,10,2. Vest,10303,1311,44.1,298050.6,10.91914976,13.01562652,16.90769679,4.862661361,16.78151995,6.425313016,29.48655731,1.601475298,6635,3668,1313,1639,552,140,78,1064,360,38,252,69,1837,1217,553,15
